locus_tag	gene	product	go_terms
EQU24_RS16830		flagellar hook protein FlgE	['GO:0009424', 'GO:0009288', 'GO:0051674', 'GO:0005737', 'GO:0051179', 'GO:0005622', 'GO:0042995', 'GO:0044424', 'GO:0048870', 'GO:0071978', 'GO:0040011', 'GO:0044422', 'GO:0008150', 'GO:0009987', 'GO:0001539', 'GO:0005575', 'GO:0043228', 'GO:0071973', 'GO:0043226', 'GO:0005829', 'GO:0044444', 'GO:0044464', 'GO:0006928', 'GO:0005623', 'GO:0097588', 'GO:0044461', 'GO:0009425', 'GO:0044463']
EQU24_RS16835		flagellar hook assembly protein FlgD	['GO:0044781']
EQU24_RS16840	flgC	flagellar basal body rod protein FlgC	['GO:0030694', 'GO:0071973']
EQU24_RS16845	flgB	flagellar basal body rod protein FlgB	['GO:0030694', 'GO:0071973']
EQU24_RS16850		protein-glutamate O-methyltransferase CheR	['GO:0006479', 'GO:0006935', 'GO:0009605', 'GO:0042221', 'GO:0040011', 'GO:0008983', 'GO:0008150', 'GO:0050896', 'GO:0042330']
EQU24_RS16855		chemotaxis protein CheV	['GO:0006935', 'GO:0000160']
EQU24_RS16860	flgA	flagellar basal body P-ring formation protein FlgA	['GO:0044780', 'GO:0042597']
EQU24_RS16865	flgM	flagellar biosynthesis anti-sigma factor FlgM	['GO:0016989', 'GO:0110165', 'GO:0045892']
EQU24_RS16870		flagellar protein FlgN	['GO:0005515', 'GO:0044780']
EQU24_RS16875			[]
EQU24_RS16880		hypothetical protein	[]
EQU24_RS16885	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	['GO:0003677', 'GO:0006281', 'GO:0016787', 'GO:0006355', 'GO:0009432']
EQU24_RS16890		Y-family DNA polymerase	['GO:0003684', 'GO:0006281']
EQU24_RS16895		GTP cyclohydrolase I FolE2	['GO:0003934', 'GO:0035998']
EQU24_RS16900		GTP-binding protein	[]
EQU24_RS16905		formylmethanofuran dehydrogenase subunit A	['GO:0008152', 'GO:0009987', 'GO:0044281', 'GO:0044237', 'GO:0003824', 'GO:0016787', 'GO:0006730', 'GO:0008150', 'GO:0016810', 'GO:0003674']
EQU24_RS16910		prevent-host-death protein	['GO:0016021']
EQU24_RS16915		type II toxin-antitoxin system VapC family toxin	[]
EQU24_RS16920		ZIP family metal transporter	['GO:0046873', 'GO:0055085', 'GO:0016021', 'GO:0030001']
EQU24_RS16925		GTP-binding protein	['GO:0003924', 'GO:0005737', 'GO:0046872', 'GO:0005622', 'GO:0006950', 'GO:0043169', 'GO:0044424', 'GO:0046914', 'GO:0033554', 'GO:0005488', 'GO:0050896', 'GO:0042802', 'GO:0003824', 'GO:0051716', 'GO:0008150', 'GO:0006974', 'GO:0009987', 'GO:0043167', 'GO:0005515', 'GO:0005575', 'GO:0016817', 'GO:0016462', 'GO:0005829', 'GO:0016818', 'GO:0016787', 'GO:0017111', 'GO:0044444', 'GO:0044464', 'GO:0005623', 'GO:0003674']
EQU24_RS16930	hisI	phosphoribosyl-AMP cyclohydrolase	['GO:0000287', 'GO:0004635', 'GO:0040007', 'GO:0000105', 'GO:0005737', 'GO:0008150', 'GO:0008270']
EQU24_RS16935		hypothetical protein	[]
EQU24_RS16940		DUF1826 domain-containing protein	[]
EQU24_RS16945		GTP-binding protein	[]
EQU24_RS16950		trypsin-like peptidase domain-containing protein	['GO:0008236', 'GO:0006508']
EQU24_RS16960		TonB-dependent receptor	['GO:0009279', 'GO:0016021']
EQU24_RS16965		hypothetical protein	[]
EQU24_RS16970		BamA/TamA family outer membrane protein	['GO:0006810', 'GO:0030313', 'GO:0031975', 'GO:0051179', 'GO:0044462', 'GO:0031230', 'GO:0044425', 'GO:0009279', 'GO:0042886', 'GO:0009987', 'GO:0097347', 'GO:0071705', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0005623', 'GO:0045203', 'GO:0071702', 'GO:0071944', 'GO:0030312', 'GO:0016021', 'GO:0031224', 'GO:0015833', 'GO:0009306', 'GO:0002790', 'GO:0008104', 'GO:0045184', 'GO:0019867', 'GO:0046903', 'GO:0051234', 'GO:0032940', 'GO:0005575', 'GO:0008150', 'GO:0015031', 'GO:0032991']
EQU24_RS16975		translocation/assembly module TamB	['GO:0009306', 'GO:0005887']
EQU24_RS16980	mltF	membrane-bound lytic murein transglycosylase MltF	['GO:0030313', 'GO:0031975', 'GO:0071944', 'GO:0030312', 'GO:0071555', 'GO:0016998', 'GO:0044462', 'GO:0009279', 'GO:0019867', 'GO:0008933', 'GO:0005575', 'GO:0016837', 'GO:0016020', 'GO:0044464', 'GO:0005623']
EQU24_RS16985		IS110 family transposase	['GO:0006313', 'GO:0003677', 'GO:0004803']
EQU24_RS16990		FAD:protein FMN transferase	['GO:0046872', 'GO:0016740', 'GO:0005886', 'GO:0017013']
EQU24_RS16995		DUF3570 domain-containing protein	[]
EQU24_RS17000		DUF4266 domain-containing protein	['GO:0016020']
EQU24_RS17005		TlpA family protein disulfide reductase	['GO:0016491', 'GO:0005623', 'GO:0055114', 'GO:0045454']
EQU24_RS17010		hypothetical protein	[]
EQU24_RS17015		hypothetical protein	[]
EQU24_RS17020		DUF3530 family protein	['GO:0016787']
EQU24_RS17025	mltB	lytic murein transglycosylase B	['GO:0030313', 'GO:0031975', 'GO:0008932', 'GO:0046872', 'GO:0006807', 'GO:0043169', 'GO:0009056', 'GO:0006026', 'GO:0016757', 'GO:0031402', 'GO:0006027', 'GO:0044462', 'GO:0030288', 'GO:0009279', 'GO:1901136', 'GO:0061783', 'GO:0008152', 'GO:0008933', 'GO:0043170', 'GO:0043167', 'GO:0016787', 'GO:0016020', 'GO:1901135', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0005509', 'GO:0071944', 'GO:0006022', 'GO:0030312', 'GO:0009253', 'GO:0009057', 'GO:1901575', 'GO:0005488', 'GO:0003824', 'GO:1901564', 'GO:0019867', 'GO:0005575', 'GO:0030203', 'GO:0031420', 'GO:0000270', 'GO:0071704', 'GO:0008150', 'GO:1901565', 'GO:0042597', 'GO:0003674']
EQU24_RS17030		alkaline phytoceramidase	['GO:0016811', 'GO:0006672', 'GO:0016021']
EQU24_RS17035		HDOD domain-containing protein	['GO:0005515']
EQU24_RS17040		hypothetical protein	[]
EQU24_RS17045		hypothetical protein	['GO:0016021']
EQU24_RS17050		hypothetical protein	[]
EQU24_RS17055		glutamate-5-semialdehyde dehydrogenase	['GO:0006520', 'GO:0004350', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0009084', 'GO:1901362', 'GO:0046394', 'GO:0042802', 'GO:0008152', 'GO:0016491', 'GO:0009064', 'GO:0009987', 'GO:0018130', 'GO:0006561', 'GO:0017144', 'GO:0005829', 'GO:0009058', 'GO:1901566', 'GO:0044238', 'GO:0044464', 'GO:0043436', 'GO:0005623', 'GO:0016620', 'GO:0016053', 'GO:0016903', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0005488', 'GO:0003824', 'GO:0055114', 'GO:0019752', 'GO:0008150', 'GO:1901564', 'GO:0050661', 'GO:1901605', 'GO:0055129', 'GO:0006082', 'GO:0008652', 'GO:0005515', 'GO:0005575', 'GO:0044281', 'GO:0006560', 'GO:0044237', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS17060		hypothetical protein	[]
EQU24_RS17065	nifH	nitrogenase iron protein	['GO:0051539', 'GO:0009399', 'GO:0016163', 'GO:0018697', 'GO:0005524', 'GO:0046872', 'GO:0055114']
EQU24_RS17070	nifD	nitrogenase molybdenum-iron protein alpha chain	['GO:0016163', 'GO:0051536', 'GO:0009399', 'GO:0046872', 'GO:0018697', 'GO:0016612', 'GO:0055114']
EQU24_RS17075	nifK	nitrogenase molybdenum-iron protein subunit beta	['GO:0016163', 'GO:0046872', 'GO:0018697', 'GO:0051536', 'GO:0009399', 'GO:0005524', 'GO:0016612', 'GO:0055114']
EQU24_RS17080	nifT	putative nitrogen fixation protein NifT	['GO:0009399']
EQU24_RS17085		4Fe-4S dicluster domain-containing protein	[]
EQU24_RS17090		hypothetical protein	[]
EQU24_RS17095		hypothetical protein	[]
EQU24_RS17100		hypothetical protein	[]
EQU24_RS17105	cls	cardiolipin synthase	['GO:0032049', 'GO:0005886', 'GO:0016021', 'GO:0008808']
EQU24_RS17115		flavodoxin	['GO:0010181', 'GO:0009055', 'GO:0022900']
EQU24_RS17120	grxD	Grx4 family monothiol glutaredoxin	['GO:0045454', 'GO:0005737', 'GO:0005622', 'GO:0015035', 'GO:0044424', 'GO:0051536', 'GO:0051537', 'GO:0005488', 'GO:0022900', 'GO:0044444', 'GO:0051540', 'GO:0005575', 'GO:0005829', 'GO:0048037', 'GO:0044464', 'GO:0005623', 'GO:0009055', 'GO:0003674']
EQU24_RS17125	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	['GO:0046983', 'GO:0051082', 'GO:0006508', 'GO:0008233', 'GO:0006457', 'GO:0005524', 'GO:0008270']
EQU24_RS17130	nifM	nitrogen fixation protein NifM	['GO:0003755', 'GO:0000413']
EQU24_RS17135		nitrogen fixation protein NifZ	['GO:0009399']
EQU24_RS17140		hypothetical protein	['GO:0009399']
EQU24_RS17145	fdxB	ferredoxin III, nif-specific	['GO:0051536']
EQU24_RS17150		hypothetical protein	[]
EQU24_RS17155		NifX-associated nitrogen fixation protein	[]
EQU24_RS17160		nitrogen fixation protein NifX	['GO:0051188', 'GO:0051540', 'GO:0009399']
EQU24_RS17165	nifN	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	['GO:0016163', 'GO:0065003', 'GO:0055114', 'GO:0009399']
EQU24_RS17170	nifE	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	['GO:0009399', 'GO:0016163', 'GO:0018697', 'GO:0065003', 'GO:0055114']
EQU24_RS17180		hypothetical protein	['GO:0022857', 'GO:0055085', 'GO:0016021']
EQU24_RS17185		IS66 family transposase	[]
EQU24_RS17190		MFS transporter	['GO:0022857', 'GO:0055085', 'GO:0016021']
EQU24_RS17195		Uma2 family endonuclease	['GO:0004519', 'GO:0090305']
EQU24_RS17200		nitrogen fixation protein NifQ	['GO:0030151', 'GO:0009399']
EQU24_RS17205		2Fe-2S iron-sulfur cluster binding domain-containing protein	['GO:0022900', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0043228', 'GO:0043226', 'GO:0043229', 'GO:0046858', 'GO:0043232', 'GO:0051537', 'GO:0044464', 'GO:0005623', 'GO:0009055']
EQU24_RS17210		2Fe-2S iron-sulfur cluster binding domain-containing protein	['GO:0022900', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0043228', 'GO:0043226', 'GO:0043229', 'GO:0046858', 'GO:0043232', 'GO:0051537', 'GO:0044464', 'GO:0005623', 'GO:0009055']
EQU24_RS17215		FprA family A-type flavoprotein	['GO:0000166', 'GO:0003674', 'GO:0046872', 'GO:0010181', 'GO:0043169', 'GO:0043168', 'GO:0008152', 'GO:0016491', 'GO:0009987', 'GO:0022900', 'GO:0043167', 'GO:0017144', 'GO:0072593', 'GO:0016787', 'GO:0005506', 'GO:0009055', 'GO:0050664', 'GO:0032553', 'GO:0036094', 'GO:0046914', 'GO:0016661', 'GO:0097159', 'GO:0016966', 'GO:0005488', 'GO:0003824', 'GO:0055114', 'GO:0006091', 'GO:0016662', 'GO:0072592', 'GO:0016651', 'GO:1901265', 'GO:1901363', 'GO:0044237', 'GO:0050662', 'GO:0048037', 'GO:0008150', 'GO:0097367']
EQU24_RS17220		nitrogenase-associated protein	[]
EQU24_RS17225		ferredoxin	[]
EQU24_RS17230	nifB	nitrogenase cofactor biosynthesis protein NifB	['GO:0046872', 'GO:0009108', 'GO:0003824', 'GO:0051539']
EQU24_RS17235		RnfH family protein	['GO:0008152', 'GO:0006091', 'GO:0016491', 'GO:0009987', 'GO:0022900', 'GO:0044237', 'GO:0055114', 'GO:0008150', 'GO:0003824', 'GO:0009055', 'GO:0003674']
EQU24_RS17240		electron transport complex subunit E	['GO:0005886', 'GO:0016021', 'GO:0022900']
EQU24_RS17245	rsxG	electron transport complex subunit RsxG	['GO:0071944', 'GO:0022900', 'GO:0005886', 'GO:0010181', 'GO:0005575', 'GO:0016021', 'GO:0016020', 'GO:0044464', 'GO:0005623', 'GO:0009055']
EQU24_RS17250		RnfABCDGE type electron transport complex subunit D	['GO:0005886', 'GO:0055085', 'GO:0016021', 'GO:0022900']
EQU24_RS17255	rsxC	electron transport complex subunit RsxC	['GO:0051539', 'GO:0022900', 'GO:0046872', 'GO:0005886', 'GO:0009055']
EQU24_RS17260		RnfABCDGE type electron transport complex subunit B	['GO:0051539', 'GO:0022900', 'GO:0046872', 'GO:0005886', 'GO:0009055', 'GO:0016021']
EQU24_RS17265	rsxA	electron transport complex subunit RsxA	['GO:0005886', 'GO:0016021', 'GO:0022900']
EQU24_RS17270	nifL	nitrogen fixation negative regulator NifL	['GO:0004673', 'GO:0009399', 'GO:0018106', 'GO:0007165', 'GO:0005524']
EQU24_RS17275	nifA	nif-specific transcriptional activator NifA	['GO:0043565', 'GO:0009399', 'GO:0006355', 'GO:0005524', 'GO:0003700', 'GO:0008134']
EQU24_RS17280		NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase	['GO:0030701', 'GO:0009399']
EQU24_RS17285	draG	ADP-ribosyl-[dinitrogen reductase] hydrolase	['GO:0008152', 'GO:0047407']
EQU24_RS17290		dinitrogenase iron-molybdenum cofactor biosynthesis protein	[]
EQU24_RS17295		thiosulfate sulfurtransferase GlpE	['GO:0005737', 'GO:0004792']
EQU24_RS17300		hypothetical protein	[]
EQU24_RS17305		4Fe-4S dicluster domain-containing protein	['GO:0051536']
EQU24_RS17310		hypothetical protein	[]
EQU24_RS17315		hypothetical protein	[]
EQU24_RS17325		hypothetical protein	[]
EQU24_RS17330		(2Fe-2S) ferredoxin domain-containing protein	[]
EQU24_RS17335		hypothetical protein	[]
EQU24_RS17340	cysE	serine O-acetyltransferase	['GO:0009001', 'GO:0006520', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0006535', 'GO:0006563', 'GO:0016407', 'GO:0046394', 'GO:0016746', 'GO:0008152', 'GO:0009987', 'GO:0009070', 'GO:0006790', 'GO:0000096', 'GO:0005829', 'GO:0009058', 'GO:1901566', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0043436', 'GO:0016053', 'GO:0008374', 'GO:1901576', 'GO:1901607', 'GO:0009069', 'GO:0000097', 'GO:0016412', 'GO:0044272', 'GO:0044283', 'GO:0003824', 'GO:0019344', 'GO:0019752', 'GO:0008150', 'GO:1901564', 'GO:1901605', 'GO:0016413', 'GO:0006082', 'GO:0008652', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0016747', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0006534', 'GO:0003674']
EQU24_RS17345	nifV	homocitrate synthase	['GO:0004410', 'GO:0019752', 'GO:0051188']
EQU24_RS17350		hypothetical protein	['GO:0016021']
EQU24_RS17355		hypothetical protein	[]
EQU24_RS17360		ISKra4 family transposase	[]
EQU24_RS17365		hypothetical protein	[]
EQU24_RS17370		HNH endonuclease	['GO:0003676', 'GO:0004519', 'GO:0090305']
EQU24_RS17375		BrnT family toxin	[]
EQU24_RS17380		hypothetical protein	[]
EQU24_RS17385		hypothetical protein	['GO:0004222', 'GO:0006508', 'GO:0016020', 'GO:0008233', 'GO:0016021']
EQU24_RS17390		DUF2281 domain-containing protein	[]
EQU24_RS17400		hypothetical protein	[]
EQU24_RS17405	nifS	cysteine desulfurase NifS	['GO:0031071', 'GO:0051536', 'GO:0006520', 'GO:0046872', 'GO:0030170']
EQU24_RS17410	nifU	Fe-S cluster assembly protein NifU	['GO:0016226', 'GO:0097428', 'GO:0051536', 'GO:0005506', 'GO:0005198', 'GO:0009399']
EQU24_RS17415		iron-sulfur cluster assembly accessory protein	['GO:0016226', 'GO:0097428', 'GO:0051536', 'GO:0005506', 'GO:0005198']
EQU24_RS17420		hypothetical protein	['GO:0009399']
EQU24_RS17430		integrase	[]
EQU24_RS17435		NUDIX hydrolase	['GO:0016787']
EQU24_RS17440		PIN domain-containing protein	['GO:0004521', 'GO:0000287', 'GO:0090729', 'GO:0090502']
EQU24_RS17445		hypothetical protein	[]
EQU24_RS17450		hypothetical protein	[]
EQU24_RS17460		sel1 repeat family protein	['GO:0007165', 'GO:0005515']
EQU24_RS17465		hypothetical protein	[]
EQU24_RS17470		NYN domain-containing protein	[]
EQU24_RS17475		hypothetical protein	['GO:0016021']
EQU24_RS17480		hypothetical protein	['GO:0008233', 'GO:0016021', 'GO:0006508']
EQU24_RS17490		transposase	[]
EQU24_RS17500		catalase	['GO:0006979', 'GO:0042744', 'GO:0020037', 'GO:0098869', 'GO:0046872', 'GO:0055114', 'GO:0004096']
EQU24_RS17505		hypothetical protein	['GO:0016021', 'GO:0016020']
EQU24_RS17510			[]
EQU24_RS17515		YdcF family protein	['GO:0071944', 'GO:0006022', 'GO:0071840', 'GO:0006807', 'GO:0016021', 'GO:0044425', 'GO:0031224', 'GO:0008150', 'GO:0044085', 'GO:0008152', 'GO:1901564', 'GO:0009987', 'GO:0043170', 'GO:0043164', 'GO:0042546', 'GO:0005886', 'GO:0005575', 'GO:0030203', 'GO:0009273', 'GO:0000270', 'GO:0016020', 'GO:1901135', 'GO:0044464', 'GO:0071704', 'GO:0005623', 'GO:0071554']
EQU24_RS17520		4-hydroxybenzoate octaprenyltransferase	['GO:0009108', 'GO:0003674', 'GO:0006732', 'GO:0042181', 'GO:0002083', 'GO:0008152', 'GO:0004659', 'GO:0009987', 'GO:0005886', 'GO:0051188', 'GO:0009058', 'GO:0016020', 'GO:0008412', 'GO:0016740', 'GO:0005623', 'GO:0044464', 'GO:0071944', 'GO:0042180', 'GO:1901576', 'GO:0006744', 'GO:0016021', 'GO:0006743', 'GO:0051186', 'GO:0044283', 'GO:0003824', 'GO:0008150', 'GO:0002094', 'GO:1901661', 'GO:0006733', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0071704', 'GO:0044249', 'GO:0047293', 'GO:1901663', 'GO:0016765']
EQU24_RS17530	arsC	arsenate reductase (glutaredoxin)	['GO:0005737', 'GO:0008794', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0005829', 'GO:0044444', 'GO:0044464', 'GO:0005623', 'GO:0055114']
EQU24_RS17535		DUF2069 domain-containing protein	['GO:0016021']
EQU24_RS17540	hda	DnaA regulatory inactivator Hda	['GO:0000166', 'GO:2000112', 'GO:0010558', 'GO:2000104', 'GO:0006725', 'GO:0080090', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0030174', 'GO:0044238', 'GO:0016020', 'GO:0044464', 'GO:0048519', 'GO:0006259', 'GO:0050789', 'GO:0090304', 'GO:0031324', 'GO:0006260', 'GO:0045934', 'GO:0032297', 'GO:0097159', 'GO:0031327', 'GO:0090329', 'GO:0005488', 'GO:0051052', 'GO:0051171', 'GO:0043531', 'GO:0019219', 'GO:0005515', 'GO:0031326', 'GO:1901363', 'GO:1901360', 'GO:0060255', 'GO:0044444', 'GO:0008150', 'GO:0032559', 'GO:0050794', 'GO:0046483', 'GO:0003674', 'GO:0009892', 'GO:0005737', 'GO:0010556', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0043168', 'GO:0051053', 'GO:2000113', 'GO:0042802', 'GO:0034645', 'GO:0051172', 'GO:0065007', 'GO:0008156', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:0006275', 'GO:0031323', 'GO:0032553', 'GO:0036094', 'GO:0030554', 'GO:1901576', 'GO:0009889', 'GO:0009059', 'GO:0010605', 'GO:0006261', 'GO:0006139', 'GO:0005575', 'GO:1901265', 'GO:0019222', 'GO:0032555', 'GO:0048523', 'GO:0009890', 'GO:0044237', 'GO:0017076', 'GO:0071704', 'GO:0044249', 'GO:0006270', 'GO:0097367']
EQU24_RS17545		2-dehydropantoate 2-reductase	['GO:0008677', 'GO:0015940', 'GO:0055114']
EQU24_RS17550		SDR family oxidoreductase	[]
EQU24_RS17555		hypothetical protein	[]
EQU24_RS17560		MoaD/ThiS family protein	[]
EQU24_RS17570		cytochrome P450	['GO:0005737', 'GO:0008398', 'GO:0005622', 'GO:0044424', 'GO:0016125', 'GO:0008168', 'GO:0046906', 'GO:0008152', 'GO:0016491', 'GO:0020037', 'GO:0005829', 'GO:0005506', 'GO:0070988', 'GO:0044238', 'GO:0044464', 'GO:0005623', 'GO:0004497', 'GO:0006629', 'GO:0032451', 'GO:0097159', 'GO:0005488', 'GO:0003824', 'GO:0055114', 'GO:0016709', 'GO:0016705', 'GO:0008202', 'GO:0044444', 'GO:0005575', 'GO:0032259', 'GO:1901615', 'GO:1901363', 'GO:1901360', 'GO:0048037', 'GO:0071704', 'GO:0008150', 'GO:0003674']
EQU24_RS17575		hypothetical protein	[]
EQU24_RS17580		terpene cyclase/mutase family protein	['GO:0005811', 'GO:0000250', 'GO:0016104', 'GO:0042300']
EQU24_RS17585		hypothetical protein	['GO:0004506', 'GO:0050660', 'GO:0016021', 'GO:0055114', 'GO:0016126']
EQU24_RS17590		FAD-dependent oxidoreductase	['GO:0006805', 'GO:0071466', 'GO:0070887', 'GO:0018962', 'GO:0017001', 'GO:0009056', 'GO:0019439', 'GO:0050896', 'GO:0006725', 'GO:0016491', 'GO:0008152', 'GO:0019380', 'GO:0009987', 'GO:0017144', 'GO:0042221', 'GO:0032787', 'GO:0016020', 'GO:0043436', 'GO:0016054', 'GO:0046395', 'GO:0044248', 'GO:0044282', 'GO:1901575', 'GO:0051716', 'GO:0019752', 'GO:0055114', 'GO:0006082', 'GO:0042537', 'GO:0044281', 'GO:0009410', 'GO:0044237', 'GO:1901361', 'GO:1901360', 'GO:0072329', 'GO:0042178', 'GO:0071704', 'GO:0008150', 'GO:0016999']
EQU24_RS17595		aldehyde ferredoxin oxidoreductase family protein	['GO:0033726', 'GO:0051536', 'GO:0009055', 'GO:0022900']
EQU24_RS17600		4Fe-4S dicluster domain-containing protein	['GO:0008152', 'GO:0016491', 'GO:0005737', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0044464', 'GO:0005623', 'GO:0003824', 'GO:0055114', 'GO:0008150', 'GO:0003674']
EQU24_RS17605		DUF2845 domain-containing protein	[]
EQU24_RS17610	lpxA	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	['GO:0008780', 'GO:0009245', 'GO:0005737']
EQU24_RS17615	xerD	site-specific tyrosine recombinase XerD	['GO:0007049', 'GO:0032991', 'GO:0006276', 'GO:0005737', 'GO:0015074', 'GO:0051301', 'GO:0005622', 'GO:0006310', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0008907', 'GO:0003677', 'GO:0000150', 'GO:0009314', 'GO:0050896', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0009037', 'GO:0034641', 'GO:0044238', 'GO:0048476', 'GO:0044464', 'GO:0006259', 'GO:0005623', 'GO:0090304', 'GO:0071139', 'GO:0006313', 'GO:0009009', 'GO:0003824', 'GO:0006139', 'GO:0007059', 'GO:0005575', 'GO:0044237', 'GO:0009628', 'GO:1901360', 'GO:0071704', 'GO:0008150', 'GO:0046483', 'GO:0003674']
EQU24_RS17620		methylated-DNA--[protein]-cysteine S-methyltransferase	['GO:0006281', 'GO:0032259', 'GO:0003908']
EQU24_RS17625		50S ribosomal protein L19	['GO:0006518', 'GO:0006996', 'GO:0022626', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0016020', 'GO:0044464', 'GO:0043933', 'GO:0019843', 'GO:0070925', 'GO:0034622', 'GO:0003723', 'GO:0005198', 'GO:0071840', 'GO:0070180', 'GO:0022625', 'GO:0097159', 'GO:0043604', 'GO:0005488', 'GO:1901564', 'GO:0010467', 'GO:0043603', 'GO:0043043', 'GO:0043226', 'GO:0022613', 'GO:1901363', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0042254', 'GO:0032991', 'GO:0003674', 'GO:0003735', 'GO:0044391', 'GO:0022607', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0034645', 'GO:0003676', 'GO:0042273', 'GO:0005829', 'GO:0009058', 'GO:0022618', 'GO:0034641', 'GO:0040007', 'GO:1990904', 'GO:0005623', 'GO:0044446', 'GO:0044445', 'GO:0071944', 'GO:1901576', 'GO:0009059', 'GO:0006412', 'GO:0000027', 'GO:0071826', 'GO:0043232', 'GO:0065003', 'GO:0044422', 'GO:0015934', 'GO:0042255', 'GO:0044085', 'GO:0005840', 'GO:0005575', 'GO:0043228', 'GO:0044237', 'GO:0043229', 'GO:0071704', 'GO:0044249', 'GO:0016043', 'GO:0019538']
EQU24_RS17630	trmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD	['GO:0016772', 'GO:0043414', 'GO:0008168', 'GO:0006725', 'GO:0001510', 'GO:0008152', 'GO:0006400', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0000287', 'GO:0044238', 'GO:0044464', 'GO:0090304', 'GO:0016779', 'GO:0043412', 'GO:0052906', 'GO:0016423', 'GO:0006396', 'GO:0005488', 'GO:0010467', 'GO:0016741', 'GO:0005515', 'GO:0009451', 'GO:0030488', 'GO:0016070', 'GO:0050518', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0008757', 'GO:0006807', 'GO:0034470', 'GO:0043169', 'GO:0008173', 'GO:0044260', 'GO:0002939', 'GO:0044424', 'GO:0042802', 'GO:0046872', 'GO:0034660', 'GO:0140101', 'GO:0009019', 'GO:0008175', 'GO:0005829', 'GO:0034641', 'GO:0040007', 'GO:0016740', 'GO:0005623', 'GO:0070567', 'GO:0008033', 'GO:0003824', 'GO:0006139', 'GO:0140098', 'GO:0005575', 'GO:0032259', 'GO:0044237', 'GO:0071704']
EQU24_RS17635	rimM	ribosome maturation factor RimM	['GO:0022607', 'GO:0000028', 'GO:0005737', 'GO:0034470', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0006996', 'GO:0042274', 'GO:0030490', 'GO:0006725', 'GO:0008152', 'GO:0034660', 'GO:0009987', 'GO:0043170', 'GO:0005829', 'GO:0016072', 'GO:0022618', 'GO:0034641', 'GO:0040007', 'GO:0044238', 'GO:0044464', 'GO:0005623', 'GO:0043933', 'GO:0070925', 'GO:0034622', 'GO:0090304', 'GO:0071840', 'GO:0071826', 'GO:0065003', 'GO:0006396', 'GO:0042255', 'GO:0044085', 'GO:0006139', 'GO:0005840', 'GO:0006364', 'GO:0016043', 'GO:0010467', 'GO:0016070', 'GO:0005575', 'GO:0044237', 'GO:0022613', 'GO:0043022', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0008150', 'GO:0042254', 'GO:0046483']
